cycSecs,cycMps,cycGrade,cycRoadType
564,4.283333355,0,0
565,2.808333238,0,0
566,1.333333386,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0.28042535,0,0
602,0.580121477,0,0
603,1.331347757,0,0
604,2.514659299,0,0
605,3.948752085,0,0
606,5.512456894,0,0
607,7.080153889,0,0
608,8.470181889,0,0
609,9.654026031,0,0
610,10.76737192,0,0
611,11.90439542,0,0
612,12.88332303,0,0
613,13.40872447,0,0
614,13.5180876,0,0
615,13.48373519,0,0
616,13.44511668,0,0
617,13.39817683,0,0
618,13.29051654,0,0
619,13.06412803,0,0
620,12.75066164,0,0
621,12.47811317,0,0
622,12.33886613,0,0
623,12.30690002,0,0
624,12.36058977,0,0
625,12.52354622,0,0
626,12.70054287,0,0
627,12.78389719,0,0
628,12.78971354,0,0
629,12.76662297,0,0
630,12.79570262,0,0
631,12.95885404,0,0
632,13.24740728,0,0
633,13.5970158,0,0
634,13.96652646,0,0
635,14.33778233,0,0
636,14.61780548,0,0
637,14.72222222,0,0
638,14.72645442,0,0
639,14.69867706,0,0
640,14.63617643,0,0
641,14.60700989,0,0
642,14.75701014,0,0
643,15.07222176,0,0
644,15.32222218,0,0
645,15.42777803,0,0
646,15.51666684,0,0
647,15.63333299,0,0
648,15.74166616,0,0
649,15.79444461,0,0
650,15.77500025,0,0
651,15.55277824,0,0
652,15.05833308,0,0
653,14.48333316,0,0
654,13.90555594,0,0
655,13.10555564,0,0
656,12.00000021,0,0
657,10.90000047,0,0
658,10.13611158,0,0
659,9.533333249,0,0
660,8.611111111,0,0
661,7.227777905,0,0
662,5.752777523,0,0
663,4.277777672,0,0
664,3.080555598,0,0
665,2.777777778,0,0
666,2.916666667,0,0
667,3.179999987,0,0
668,3.803333441,0,0
669,5.50333341,0,0
670,6.763333215,0,0
671,7.593333456,0,0
672,8.28666687,0,0
673,9.143333435,0,0
674,10.12666702,0,0
675,10.8183331,0,0
676,11.18499968,0,0
677,11.25722249,0,0
678,10.82388878,0,0
679,9.907222324,0,0
680,8.840555615,0,0
681,7.54055553,0,0
682,6.323889097,0,0
683,5.873888863,0,0
684,5.254444546,0,0
685,5.243888961,0,0
686,5.923888948,0,0
687,6.643888685,0,0
688,7.204999924,0,0
689,7.885555691,0,0
690,8.404999839,0,0
691,8.580555386,0,0
692,8.64944458,0,0
693,8.829444249,0,0
694,9.087222417,0,0
695,9.228888618,0,0
696,8.989999559,0,0
697,7.867777612,0,0
698,7.172222137,0,0
699,6.419444614,0,0
700,6.050000191,0,0
701,5.891666412,0,0
702,5.838889016,0,0
703,5.836111175,0,0
704,5.802777608,0,0
705,5.530555513,0,0
706,4.98055564,0,0
707,4.20277781,0,0
708,3.541666667,0,0
709,3.319444391,0,0
710,3.669444455,0,0
711,4.763888783,0,0
712,5.852777693,0,0
713,6.050000191,0,0
714,5.876666705,0,0
715,5.136388673,0,0
716,3.861666785,0,0
717,3.099166552,0,0
718,2.777777778,0,0
719,3.044722345,0,0
720,3.975277742,0,0
721,5.128333304,0,0
722,5.732499758,0,0
723,6.26027796,0,0
724,6.669999758,0,0
725,7.392222087,0,0
726,8.307778041,0,0
727,9.654444589,0,0
728,10.51277796,0,0
729,11.17388937,0,0
730,11.55444463,0,0
731,11.62944476,0,0
732,11.66972266,0,0
733,11.72250006,0,0
734,11.77944395,0,0
735,11.85027758,0,0
736,11.9711113,0,0
737,12.13777754,0,0
738,12.23138915,0,0
739,12.24444495,0,0
740,12.57222176,0,0
741,12.89999962,0,0
742,13.09722265,0,0
743,13.15277735,0,0
744,13.16111141,0,0
745,13.17222171,0,0
746,13.20555581,0,0
747,13.30277761,0,0
748,13.50277795,0,0
749,13.72222265,0,0
750,13.81944444,0,0
